city_id,city_name
45821,"Leavenworth /Peshastin, WA"
5498,Lecce
43121,Leeds
530,Leer
7648,Legnica
46541,Leicester
113,Leipzig
13918,Leiria
22828,Leoben
31951,Leon
20018,Lesina
27301,Lesko
18658,Leszno
47681,Lety
9258,Liberec
22948,Lido di Classe
22968,Lido di Savio
8618,Liezen
2215,Lille
4468,Limoges
142,Lindau
6708,Linköping
541,Linz
43701,Lipno nad Vltavou
15458,Lipova
6148,Liptovský Mikuláš
13938,Lisbon
14688,Liverpool
35931,Livno
5468,Livorno
1935,Liège
46311,Lišov
47391,Ljig
1925,Ljubljana
9178,Ljubuški
22628,Lleida
5238,Lloret de Mar
16668,Loborika
19388,Locorotondo
3848,London
47891,London Heathrow
10488,Longarone
5288,Lons-le-Saunier
21768,Loreto
4478,Lorient
20198,"Los Angeles, CA"
46721,Loughborough
23198,Louny
13958,Lourosa
47771,Loučovice
16548,Lovran
24751,Lovrec
42951,Lubartów
43361,Lubań
16958,Lubenec
21618,Lubin
18638,Lublin
7978,Lucca
10648,Ludbreg
1484,Lugano
6438,Lugoj
47591,"Lumberton, NC"
6718,Lund
10757,Lunel
28611,Lutowiska
44581,Lutsk
172,Luxembourg
11378,Luzern
21028,Luzzi
47471,Lučany
25981,Lučenec
9808,Lviv
3498,Lyon
23721,Lyon Saint-Exupéry Airport
46281,Lásenice
100,Lörrach
547,Lübeck
7708,Lębork
42582,M.Kemal Paşa
48271,Maarheeze
1945,Maastricht
13968,Macedo de Cavaleiros
13448,Macerata
13508,Madrid
151,Magdeburg
13218,Maglaj
12948,Maglie
554,Mainz
9108,Makarska
38511,Makedonski Brod
45521,Mala Subotica
18378,Malaga
42302,Malatya
27581,Malbork
9958,Malinska
1064,Malmö
42312,Manavgat
14638,Manchester
21038,Mandatoriccio
12738,Manduria
8578,Manfredonia
13978,Mangualde
42322,Manisa
103,Mannheim
44511,Manresa
9528,Mantova
47851,"Marathon, FL"
46491,Margherita di Savoia
1955,Maribor
45611,Marija na Muri
33361,Marijampole
2438,Markdorf
1625,Marling (Marlengo)
42592,Marmaris
3508,Marseille
24561,Marseille Airport
12708,Martina Franca
29991,Martinsicuro
16658,Marčana
29771,Maslenica
16328,Massafra
8808,Matera
26261,Mazara del Vallo
45101,Maçka
23851,Mačvanska Mitrovica
30301,Mealhalda
44411,Mecitözü
15478,Medgidia
16558,Medveja
27561,Medyka
91,Meersburg
47311,Mekece
568,Memmingen
24671,Memmingen Airport
42602,Menemen
32651,Menfi
41291,Mengen (TR)
1615,Meran (Merano)
45351,Mercan
571,Merseburg
42612,Merzifon
572,Merzig
30131,Mesagne
14838,Messina
38771,Meta
9728,Metković
1965,Metz
574,Metzingen
9188,Međugorje
36621,"Miami, FL"
8678,Michalovce
11777,Middelfart
33621,Mielec
21628,Mielno
1194,Milan
10778,Milan Malpensa Airport
22878,Milano Marittima
42622,Milas
43661,Miličín
8028,Minsk
22988,Mirabilandia
13998,Mirandela
22808,Mirto Crosia
18818,Misano Adriatico
22388,Misterhult
3528,Mittenwald
47211,Międzyrzec Podlaski
22428,Mjölby
11847,Mladá Boleslav
18568,Mlawa
37251,"Mobile, AL"
5508,Modena
24211,Modica
22238,Modlin Airport
22018,Modrič
29811,Mohovo
14008,Moita da Serra
46021,Mojkovac
22718,Mola di Bari
13288,Molfetta
44541,Mollerusa
16478,Monfiorenzo
21058,Mongrassano
9318,Monopoli
11548,Montabaur
32661,Montallegro
18998,Montana
4558,Montauban
4568,Montbéliard
21068,Montecatini
20748,"Monterey, CA"
24111,Montesilvano
3548,Montpellier
9578,Montélimar
4588,Morlaix
21078,Mormanno
14028,Mortágua
50831,Moses Lake
23158,Most
16618,Most Raša
9228,Mostar
16568,Mošćenička Draga
21538,Mrzezyno
29971,Mrčajevci
18448,Muccia
41301,Mucur
8708,Mukachevo
3998,Mulhouse
94,Munich
585,Munich International Airport
25291,Murcia
10028,Murter
36801,Muráň
14038,Murça
31091,Muñana
31131,Muñochas
31121,Muñogalindo
42342,Muğla
42282,Muş
12088,Myślenice
15988,Mérida
217,Mönchengladbach
22418,Mönsterås
8188,Mühldorf
125,Münchberg
587,Münster
34011,Nakło Nad Notecią
3558,Namur
4618,Nancy
3568,Nantes
5408,Naples
23751,Naples Airport
39841,"Naples, FL"
4628,Narbonne
12758,Nardò
44071,Nasavrky
38461,Naumburg (Saale)
31001,Navamorales
30281,Nave
36441,Nazaré
42642,Nazilli
588,Neckarsulm
45501,Nedelišće
2908,Neschwitz
42871,Neumarkt am Wallersee
602,Neustadt in Holstein
46981,Nevesinje
42352,Nevşehir
47801,"New Haven, CT"
26291,"New Orleans, LA"
27821,"New York, NY"
47361,Newport (South Wales)
39441,"Niagara Falls, NY"
6608,Nice
27442,Nidzica
15838,Nin
8598,Niort
25431,Nitra
44321,Niš
38821,Nocera inferiore
147,Nordhausen
6728,Norrköping
47561,"North Augusta, SC"
45801,"North Bend, WA"
14728,Northampton
46581,Nottingham
45741,Nova Bila
9058,Nova Gradiška
46171,Nova Varoš
5428,Novara
17848,Novi Marof
30791,Novi Pazar
16818,Novi Sad
43981,Novi Travnik
16698,Novi Vinodolski
34221,Novohrad-Volynskyi
10048,Novska
25711,Nová Báňa
20088,Nowy Sącz
22568,Nowy Targ
4658,Noyelles-Godault
104,Nuremberg
10058,Nuštar
16438,Nyborg
6878,Nyköping
20828,Nykøbing Falster
12618,Nykøbing Mors
18868,Náchod
46461,Námestovo
3838,Nîmes
20328,"Oakland and East Bay, CA"
203,Oberhausen
7138,Odense
36461,Odesa
6448,Oeynhausen
41311,Of
617,Offenburg
38571,Ohrid
43641,Olbramovice
168,Oldenburg
14058,Oliveira do Hospital
5948,Olomouc
44491,Olot
27452,Olsztyn
36571,"Olympia, WA"
13498,Omiš
46231,Ondřejov
15488,Onești
20548,"Ontario, CA"
6458,Opatija
29821,Opatovac
1995,Opole
10088,Opuzen
17968,Orašje
42372,Ordu
27201,"Orem / Provo, UT"
42652,Orhangazi
3108,Orlamünde
36641,"Orlando, FL"
4668,Orléans
47691,Orlík nad Vltavou
42662,Ortaca
45301,Ortaköy (Aksaray)
10738,Orte
14488,Orthez
16838,Ortona
15638,Orăștie
15498,Orșova
10138,Osijek
21668,Osimo
22408,Oskarshamn
41321,Osmancık
621,Osnabrück
46421,Osová Bítýška
6038,Ostrava
18548,Ostroda
46381,Ostrov nad Oslavou
18598,Ostrowiec Swietokrzyski
12818,Ostuni
45831,Otočac
12958,Otranto
43041,Otrić - Seoci
5978,Otrokovice
8138,Ouistreham
16988,Oulx
25511,Oviedo
47321,Oğulpaşa
46411,Ořechov
31141,Padiernos
2005,Padua
10968,Paestum
45451,Paka
9738,Pakoštane
9398,Palermo
20918,"Palm Springs, CA"
46852,"Palmdale, CA"
24141,Palmi
45531,Palovec
30681,Pamplona
47331,Pamukova
33391,Panevezys
26781,Paola
5928,Pardubice
2015,Paris
23631,Paris CDG Airport
23641,Paris Orly Airport
6288,Parma
9818,Parndorf Designer Outlet
47651,Partille
7798,Pasewalk
44811,Pasinler
628,Passau
42672,Patnos
3608,Pau
41351,Pazar
22278,Pazardzhik
14988,Pazin
44021,Paços de Ferreira
21718,Pedaso
14098,Pedras Salgadas
44171,Pelhřimov
14108,Penafiel
3618,Perpignan
8818,Perugia
27161,Perušić
41341,Perşembe
8848,Pesaro
3028,Pescara
20028,Peschici
9458,Peschiera del Garda
30401,Peso da Régua
14618,Petrovac
15508,Petroșani
29831,Petrčane
632,Pforzheim
36371,"Philadelphia, PA"
20218,"Phoenix-Tempe, AZ"
3128,Piacenza
21808,Pian del Lago
38761,Piano di Sorrento
36771,Piding
31011,Piedrahita
21218,Pietrapaola
25761,Piešťany
45281,Pinarbasi
44651,Piraziz
9048,Pirovac
5478,Pisa
16948,Pisek
10398,Pistoia
15528,Pitești
10188,Pitomača
21888,Pizzo
19498,Piła
9248,Plailly (Parc Astérix)
43671,Planá nad Lužnicí
10258,Plitvice Lakes (Plitvička Jezera)
47071,Pljevlja
24811,Ploce
18558,Plock
19578,Ploermel
6468,Ploiești
16598,Plomin
46731,Plomin - Vidikovac
12308,Plovdiv
2025,Plzeň
46071,Podgorica
43951,Podgradina
10578,Poggibonsi
3628,Poitiers
24351,Polanica-Zdrój
42682,Polatlı
9778,Polača
27321,Polańczyk
18518,Policoro
9308,Polignano a Mare
9848,Poličnik
21398,Polkowice
24091,Polla
45761,Polyanytsya (Bukovel)
